technology,parameter,year,value,unit,currency_year,financial_case,scenario,source,further description
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2045,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2045,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2045,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2045,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2045,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2045,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2050,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2050,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2050,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2050,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2050,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2050,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2025,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2025,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2025,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
